"test_id","source_row","test_category","question","request_ok","request_attempts","latency_ms","request_error","expected_query_class","actual_query_class","query_class_score_status","query_class_pass","expected_domains","actual_primary_domain","actual_domains","domain_score_status","domain_pass","expected_intent","actual_intent","intent_score_status","intent_pass","expected_entities","actual_entities","entity_score_status","entity_pass","missing_entities","mismatched_entities","unexpected_entities","expected_research","actual_research","research_score_status","research_pass","expected_clarification","actual_clarification","clarification_score_status","clarification_pass","failure_class","overall_pass"
"1","2","product","Hebben we BB-U 1200 op voorraad?","True","1","290,2","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","inventory_lookup","inventory_lookup","SCORED","True","family_code=BB-U|belt_width_mm=1200","{""family_code"":""bb-u"",""belt_width_mm"":""1200""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"2","3","product","Wat kost een BB-U 1200?","True","1","258,7","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","price_lookup","price_lookup","SCORED","True","family_code=BB-U|belt_width_mm=1200","{""family_code"":""bb-u"",""belt_width_mm"":""1200""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"3","4","product","Wat zijn de voordelen van BB-U?","True","1","816,7","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","advantages_disadvantages","advantages_disadvantages","SCORED","True","family_code=BB-U","{""family_code"":""bb-u""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"4","5","product","Wat zijn de nadelen van BB-H?","True","1","823,3","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","advantages_disadvantages","advantages_disadvantages","SCORED","True","family_code=BB-H","{""family_code"":""bb-h""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"5","6","product","Wat is het verschil tussen BB-U en BB-R?","True","1","836,7","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","product_selection","product_selection","SCORED","True","family_codes=BB-U,BB-R","{""family_code"":""bb-u""}","SCORED","False","family_codes","","family_code","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"6","7","product","Welke schraper zou je kiezen voor een band van 1200 mm?","True","1","5","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","","","NOT_AVAILABLE",,"product_selection","unknown","SCORED","False","belt_width_mm=1200","{}","SCORED","False","belt_width_mm","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"7","8","product","Is Promati KF op voorraad?","True","1","194","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","inventory_lookup","inventory_lookup","SCORED","True","family_code=PROM-KF","{""family_code"":""prom-kf""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"8","9","product","Wat kost een Promati KS?","True","1","178,2","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","price_lookup","price_lookup","SCORED","True","family_code=PROM-KS","{""family_code"":""prom-ks""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"9","10","product","Wat weet je over Proload?","True","1","2487,1","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","product_lookup","product_lookup","SCORED","True","family_code=PROLOAD","{""family_code"":""proload""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"10","11","product","Welke TPH HD hebben we voor 1400 mm?","True","1","222,8","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","product_lookup","product_lookup","SCORED","True","family_code=PROM-TPH-HD|belt_width_mm=1400","{""family_code"":""prom-tph-hd"",""belt_width_mm"":""1400""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
